",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"1279,Josip Juranović,hr CRO,ZG,Union Berlin,de Bundesliga,27-234,1995,5,5,450,5.0,1,1,2,0,1,1,0,0,1.4,0.6,0.3,10,6,15,18,020,020,040,000,020,029,007,035,013,019,Partidas,0a084b35"
"1280,James Justin,eng ENG,ZG,Leicester City,eng Premier League,25-043,1998,14,14,1.252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,06,20,47,50,000,000,000,000,000,002,002,005,002,005,Partidas,fb614c44"
"1281,Mathias Jørgensen,dk DEN,ZG,Brentford,eng Premier League,32-349,1990,13,8,745,8.3,0,0,0,0,0,0,1,0,0.5,0.5,0.1,05,1,22,1,000,000,000,000,000,006,001,006,006,006,Partidas,0db5d2c8"
"1282,Ozan Kabak,tr TUR,ZG,Hoffenheim,de Bundesliga,23-013,2000,23,22,1.865,20.7,2,2,4,2,0,0,11,2,1.2,1.2,1.3,25,17,60,13,010,010,019,010,019,006,006,012,006,012,Partidas,2d61d13a"
"1283,Issa Kaboré,bf BFA,ZG,Marseille,fr Ligue 1,21-330,2001,15,5,628,7.0,1,0,1,1,0,0,1,0,0.7,0.7,0.5,11,23,38,86,014,000,014,014,014,009,007,016,009,016,Partidas,c066d1a5"
"1284,Abdoul Kader Bamba,fr FRA,ATLT,Nantes,fr Ligue 1,28-317,1994,4,1,78,0.9,0,0,0,0,0,0,0,1,0.1,0.1,0.0,01,1,3,12,000,000,000,000,000,011,004,015,011,015,Partidas,32f3d97e"
"1285,Pavel Kadeřábek,cz CZE,ZG,Hoffenheim,de Bundesliga,30-347,1992,22,13,1.327,14.7,1,1,2,1,0,0,1,0,1.0,1.0,1.3,23,24,44,91,007,007,014,007,014,007,009,016,007,016,Partidas,79c90e45"
"1286,Tino Kadewere,zw ZIM,ATLT,Mallorca,es La Liga,27-092,1996,11,4,428,4.8,1,0,1,1,0,0,0,0,1.3,1.3,0.6,19,10,1,21,021,000,021,021,021,028,013,041,028,041,Partidas,7d08063d"
"1287,Kaiky,br BRA,ZG,Almería,es La Liga,19-085,2004,10,6,487,5.4,0,0,0,0,0,0,5,0,0.1,0.1,0.0,01,6,10,1,000,000,000,000,000,001,000,001,001,001,Partidas,55634fb8"
"1288,Florian Kainz,at AUT,ATLT,Köln,de Bundesliga,30-165,1992,24,23,1.743,19.4,5,6,11,3,2,2,5,1,4.4,2.9,6.0,89,51,122,121,026,031,057,015,046,023,031,054,015,046,Partidas,94c18565"
"1289,Gaël Kakuta,cd COD,AT,Lens,fr Ligue 1,31-290,1991,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,1,1,000,000,000,000,000,019,000,019,019,019,Partidas,5b1bf5e3"
"1290,Sasa Kalajdzic,at AUT,AT,Wolves,eng Premier League,25-274,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,03,0,0,1,000,000,000,000,000,053,000,053,053,053,Partidas,15f24fe7"
"1291,Sasa Kalajdzic,at AUT,AT,Stuttgart,de Bundesliga,25-274,1997,3,3,233,2.6,0,3,3,0,0,0,1,0,0.5,0.5,0.6,11,0,4,13,000,116,116,000,116,019,024,044,019,044,Partidas,15f24fe7"
"1292,Arnaud Kalimuendo,fr FRA,AT,Rennes,fr Ligue 1,21-077,2002,22,19,1.457,16.2,7,2,9,7,0,0,0,0,5.8,5.8,2.1,79,32,24,156,043,012,056,043,056,036,013,049,036,049,Partidas,bf4c41f9"
"1293,Yayah Kallon,sl SLE,LTAT,Hellas Verona,it Serie A,21-281,2001,20,7,778,8.6,1,1,2,1,0,0,1,0,1.6,1.6,1.4,30,32,20,60,012,012,023,012,023,019,016,035,019,035,Partidas,f95f49d2"
"1294,Gedeon Kalulu,cd COD,ZG,Lorient,fr Ligue 1,25-221,1997,22,22,1.980,22.0,0,3,3,0,0,0,4,0,0.5,0.5,1.3,18,54,97,60,000,014,014,000,014,002,006,008,002,008,Partidas,dd211559"
"1295,Pierre Kalulu,fr FRA,ZG,Milan,it Serie A,22-306,2000,27,22,2.120,23.6,1,0,1,1,0,0,4,0,1.4,1.4,1.2,26,40,112,31,004,000,004,004,004,006,005,011,006,011,Partidas,85f7d1be"
"1296,Justin-Noël Kalumba,fr FRA,ZG,Angers,fr Ligue 1,18-103,2004,1,1,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,01,2,2,2,000,000,000,000,000,008,013,021,008,021,Partidas,32e2163d"
"1297,Daichi Kamada,jp JPN,LTAT,Eint Frankfurt,de Bundesliga,26-245,1996,24,19,1.666,18.5,7,4,11,5,2,2,2,0,6.8,5.3,2.2,74,31,107,73,038,022,059,027,049,037,012,049,028,040,Partidas,15b287da"
"1298,Waren Kamanzi,no NOR,ZG,Toulouse,fr Ligue 1,22-147,2000,4,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,5,7,3,000,000,000,000,000,000,000,000,000,000,Partidas,a426a912"
"1299,Bingourou Kamara,sn SEN,G,Montpellier,fr Ligue 1,26-168,1996,5,4,408,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,3814120d"
"1300,Boubacar Kamara,fr FRA,LT,Aston Villa,eng Premier League,23-135,1999,20,19,1.569,17.4,0,1,1,0,0,0,4,0,0.2,0.2,0.8,10,14,80,8,000,006,006,000,006,001,005,006,001,006,Partidas,cc77354e"
"1301,Jakub Kamiński,pl POL,ATLT,Wolfsburg,de Bundesliga,20-306,2002,23,17,1.412,15.7,1,2,3,1,0,0,0,0,3.0,2.8,2.4,51,29,58,120,006,013,019,006,019,019,015,034,018,033,Partidas,202b3b68"
"1302,Marcin Kamiński,pl POL,ZG,Schalke 04,de Bundesliga,31-082,1992,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,463503e2"
"1303,Kevin Kampl,si SVN,LT,RB Leipzig,de Bundesliga,32-180,1990,22,12,944,10.5,0,1,1,0,0,0,7,0,0.1,0.1,0.5,06,13,55,8,000,010,010,000,010,001,004,006,001,006,Partidas,b825a650"
"1304,Nordine Kandil,fr FRA,LTAT,Strasbourg,fr Ligue 1,21-158,2001,7,0,101,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0.8,09,9,6,9,000,089,089,000,089,014,070,084,014,084,Partidas,c5908bc4"
"1305,Harry Kane,eng ENG,AT,Tottenham,eng Premier League,29-253,1993,29,29,2.595,28.8,22,2,24,18,4,5,5,0,16.9,12.9,4.5,174,48,136,160,076,007,083,062,069,059,015,074,045,060,Partidas,21a66f6a"
"1306,Wilfried Kanga,ci CIV,AT,Hertha BSC,de Bundesliga,25-045,1998,20,14,1.279,14.2,2,0,2,2,0,0,2,0,3.2,3.2,1.5,47,9,10,70,014,000,014,014,014,023,010,033,023,033,Partidas,b4c816a9"
"1307,Lee Kangin,kr KOR,LTAT,Mallorca,es La Liga,22-047,2001,26,24,2.025,22.5,3,4,7,3,0,0,7,0,3.3,3.3,3.2,66,64,70,98,013,018,031,013,031,015,014,029,015,029,Partidas,8455ad90"
"1308,N'Golo Kanté,fr FRA,LT,Chelsea,eng Premier League,32-009,1991,4,3,276,3.1,0,0,0,0,0,0,0,0,0.2,0.2,1.2,14,12,19,13,000,000,000,000,000,007,039,046,007,046,Partidas,b9fbae28"
"1309,Kenan Karaman,tr TUR,AT,Schalke 04,de Bundesliga,29-033,1994,14,5,499,5.5,1,0,1,1,0,0,2,0,1.7,1.7,0.1,18,10,11,29,018,000,018,018,018,030,003,033,030,033,Partidas,8f0f2230"
"1310,Yann Karamoh,fr FRA,LTAT,Torino,it Serie A,24-273,1998,12,4,426,4.7,3,0,3,3,0,0,1,0,2.6,2.6,0.2,28,14,5,50,063,000,063,063,063,054,005,059,054,059,Partidas,8b66d9cc"
"1311,Atakan Karazor,de GER,LT,Stuttgart,de Bundesliga,26-176,1996,22,15,1.345,14.9,0,1,1,0,0,0,9,0,0.2,0.2,0.6,08,4,49,6,000,007,007,000,007,001,004,006,001,006,Partidas,5762be5c"
"1312,Jon Karrikaburu,es ESP,AT,Real Sociedad,es La Liga,20-200,2002,6,0,93,1.0,0,0,0,0,0,0,1,0,0.3,0.3,0.3,06,2,4,2,000,000,000,000,000,028,031,060,028,060,Partidas,211589b8"
"1313,Rick Karsdorp,nl NED,ZG,Roma,it Serie A,28-055,1995,13,8,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,1.2,15,16,24,33,000,000,000,000,000,003,015,019,003,019,Partidas,9f84febe"
"1314,Denso Kasius,nl NED,ZG,Bologna,it Serie A,20-183,2002,7,4,342,3.8,0,2,2,0,0,0,1,0,0.1,0.1,0.7,08,9,9,21,000,053,053,000,053,003,018,021,003,021,Partidas,7ae36711"
"1315,Thomas Kastanaras,gr GRE,ATZG,Stuttgart,de Bundesliga,20-088,2003,4,1,72,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,03,1,2,6,000,000,000,000,000,032,008,040,032,040,Partidas,778ccc44"
"1316,Grigoris Kastanos,cy CYP,LTZG,Salernitana,it Serie A,25-067,1998,18,6,594,6.6,1,0,1,1,0,0,3,0,0.9,0.9,0.4,12,13,22,34,015,000,015,015,015,013,005,019,013,019,Partidas,2a82aa85"
"1317,Silas Katompa,cd COD,ATZG,Stuttgart,de Bundesliga,24-183,1998,22,19,1.561,17.3,4,2,6,3,1,1,3,0,5.2,4.4,1.2,56,54,30,119,023,012,035,017,029,030,007,037,025,032,Partidas,de4cac2d"
"1318,Moise Kean,it ITA,AT,Juventus,it Serie A,23-038,2000,24,10,871,9.7,6,0,6,6,0,0,5,1,6.0,6.0,1.1,72,24,11,66,062,000,062,062,062,062,012,074,062,074,Partidas,3d50bcdb"
"1319,Michael Keane,eng ENG,ZG,Everton,eng Premier League,30-086,1993,6,5,473,5.3,1,1,2,1,0,0,0,0,0.9,0.9,0.3,12,0,10,1,019,019,038,019,038,017,005,022,017,022,Partidas,c5b7c315"
"1320,Neeskens Kebano,cd COD,AT,Fulham,eng Premier League,31-028,1992,12,9,713,7.9,0,3,3,0,0,0,0,0,0.5,0.5,1.4,18,37,21,63,000,038,038,000,038,006,017,023,006,023,Partidas,18b999f4"
"1321,Kévin Keben Biakolo,cm CMR,ZG,Toulouse,fr Ligue 1,19-071,2004,10,3,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,02,5,5,16,000,000,000,000,000,001,005,007,001,007,Partidas,c43a8336"
"1322,Thilo Kehrer,de GER,ZG,West Ham,eng Premier League,26-198,1996,21,21,1.817,20.2,0,1,1,0,0,0,4,0,0.4,0.4,0.4,08,15,49,28,000,005,005,000,005,002,002,004,002,004,Partidas,51dbeea9"
"1323,Check Keita,fr FRA,ZG,Reims,fr Ligue 1,20-005,2003,7,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,01,7,17,0,000,000,000,000,000,001,001,001,001,001,Partidas,c9f2f83a"
"1324,Naby Keïta,gn GUI,LT,Liverpool,eng Premier League,28-056,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,14,5,15,21,000,000,000,000,000,020,022,041,020,041,Partidas,f25c8e3a"
"1325,Yannik Keitel,de GER,LT,Freiburg,de Bundesliga,23-051,2000,18,5,447,5.0,0,2,2,0,0,0,3,0,0.0,0.0,0.1,01,9,20,12,000,040,040,000,040,000,002,002,000,002,Partidas,d2c580ce"
"1326,Lloyd Kelly,eng ENG,ZG,Bournemouth,eng Premier League,24-183,1998,14,14,1.260,14.0,0,2,2,0,0,0,2,0,0.1,0.1,0.2,04,6,25,1,000,014,014,000,014,001,002,003,001,003,Partidas,f31def1e"
"1327,Marc-Oliver Kempf,de GER,ZG,Hertha BSC,de Bundesliga,28-069,1995,25,25,2.184,24.3,0,0,0,0,0,0,4,0,1.0,1.0,0.2,12,9,67,1,000,000,000,000,000,004,001,005,004,005,Partidas,815c314f"
"1328,Kenedy,br BRA,ATLT,Valladolid,es La Liga,27-058,1996,4,1,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,1,0,3,000,000,000,000,000,002,000,002,002,002,Partidas,5eebbfdf"
"1329,Jonjoe Kenny,eng ENG,ZG,Hertha BSC,de Bundesliga,26-023,1997,23,19,1.733,19.3,0,1,1,0,0,0,2,0,0.3,0.3,2.1,23,24,75,49,000,005,005,000,005,001,011,012,001,012,Partidas,099e666f"
"1330,Franck Kessié,ci CIV,LT,Barcelona,es La Liga,26-109,1996,19,4,625,6.9,1,1,2,1,0,0,4,0,1.2,1.2,0.6,18,11,21,24,014,014,029,014,029,017,009,026,017,026,Partidas,05e19d6a"
"1331,Saîf-Eddine Khaoui,tn TUN,LT,Clermont Foot,fr Ligue 1,27-345,1995,26,20,1.727,19.2,4,3,7,4,0,0,4,0,3.2,3.2,3.6,68,20,64,72,021,016,036,021,036,016,019,035,016,035,Partidas,796b1c41"
"1332,Wahbi Khazri,tn TUN,ATLT,Montpellier,fr Ligue 1,32-058,1991,21,14,1.219,13.5,4,1,5,4,0,0,4,1,3.4,3.4,0.7,41,29,35,75,030,007,037,030,037,025,005,030,025,030,Partidas,2677a1de"
"1333,Rani Khedira,de GER,LT,Union Berlin,de Bundesliga,29-070,1994,25,25,2.162,24.0,1,0,1,1,0,0,7,0,1.5,1.5,0.4,19,10,55,17,004,000,004,004,004,006,002,008,006,008,Partidas,59e4b92e"
"1334,Anthony Khelifa,fr FRA,ZG,Ajaccio,fr Ligue 1,17-199,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,3670aa71"
"1335,Kike,es ESP,AT,Osasuna,es La Liga,33-133,1989,27,5,770,8.6,2,0,2,1,1,1,3,0,3.4,2.6,0.9,34,11,14,44,023,000,023,012,012,039,010,049,030,040,Partidas,e897d8ba"
"1336,Luca Kilian,de GER,ZG,Köln,de Bundesliga,23-218,1999,13,13,1.096,12.2,1,0,1,1,0,0,5,2,1.1,1.1,0.1,12,12,48,2,008,000,008,008,008,009,001,010,009,010,Partidas,610aa1e9"
"1337,Max Kilman,eng ENG,ZG,Wolves,eng Premier League,25-319,1997,29,29,2.610,29.0,0,0,0,0,0,0,3,0,1.0,1.0,0.1,11,27,111,4,000,000,000,000,000,003,000,004,003,004,Partidas,d0f72bf1"
"1338,Joshua Kimmich,de GER,LT,Bayern Munich,de Bundesliga,28-058,1995,25,24,2.126,23.6,4,4,8,4,0,0,5,1,1.4,1.4,4.2,56,28,230,44,017,017,034,017,034,006,018,024,006,024,Partidas,49296448"
"1339,Presnel Kimpembe,fr FRA,ZG,Paris S-G,fr Ligue 1,27-237,1995,11,9,730,8.1,0,0,0,0,0,0,3,0,0.7,0.7,0.2,08,4,40,4,000,000,000,000,000,008,002,010,008,010,Partidas,aef6e670"
"1340,Jakub Kiwior,pl POL,ZG,Arsenal,eng Premier League,23-051,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,dc3e663e"
"1341,Jakub Kiwior,pl POL,ZG,Spezia,it Serie A,23-051,2000,17,17,1.443,16.0,0,0,0,0,0,0,3,0,0.6,0.6,0.2,08,13,37,6,000,000,000,000,000,004,001,005,004,005,Partidas,dc3e663e"
"1342,Simon Kjær,dk DEN,ZG,Milan,it Serie A,34-012,1989,12,9,758,8.4,0,0,0,0,0,0,4,0,0.0,0.0,0.0,00,0,32,0,000,000,000,000,000,000,000,000,000,000,Partidas,8b8a56ce"
"1343,Mateusz Klich,pl POL,LTAT,Leeds United,eng Premier League,32-298,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,04,5,16,21,000,000,000,000,000,005,006,012,005,012,Partidas,282679b4"
"1344,Lukas Klostermann,de GER,ZG,RB Leipzig,de Bundesliga,26-308,1996,7,4,389,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,03,1,15,6,000,000,000,000,000,007,000,007,007,007,Partidas,ca8033cb"
"1345,Justin Kluivert,nl NED,ATLT,Valencia,es La Liga,23-337,1999,20,10,1.048,11.6,5,0,5,4,1,1,3,0,4.8,4.0,2.0,61,42,22,92,043,000,043,034,034,041,017,059,035,052,Partidas,4c3a6744"
"1346,Ansgar Knauff,de GER,ZG,Eint Frankfurt,de Bundesliga,21-087,2002,18,12,1.031,11.5,1,1,2,1,0,0,0,0,0.7,0.7,1.3,21,36,30,46,009,009,017,009,017,006,012,018,006,018,Partidas,19a967ab"
"1347,Robin Knoche,de GER,ZG,Union Berlin,de Bundesliga,30-320,1992,25,25,2.250,25.0,2,1,3,1,1,2,4,0,2.4,0.8,0.4,12,8,67,4,008,004,012,004,008,010,002,011,003,005,Partidas,6bd5cd5d"
"1348,Gregor Kobel,ch SUI,G,Dortmund,de Bundesliga,25-122,1997,19,19,1.710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,cd59b9df"
"1349,Robin Koch,de GER,ZG,Leeds United,eng Premier League,26-264,1996,28,28,2.455,27.3,0,0,0,0,0,0,6,0,0.7,0.7,0.1,08,9,81,5,000,000,000,000,000,003,000,003,003,003,Partidas,ea6bc03a"
"1350,Dominik Kohr,de GER,LT,Mainz 05,de Bundesliga,29-066,1994,23,20,1.689,18.8,3,0,3,3,0,0,6,0,1.4,1.4,0.8,22,8,111,26,016,000,016,016,016,007,004,012,007,012,Partidas,0fbecd11"
"1351,Koke,es ESP,LT,Atlético Madrid,es La Liga,31-089,1992,23,20,1.688,18.8,0,3,3,0,0,0,4,0,0.6,0.6,1.2,18,11,127,30,000,016,016,000,016,003,006,010,003,010,Partidas,55126f3b"
"1352,Sead Kolašinac,ba BIH,ZG,Marseille,fr Ligue 1,29-291,1993,24,18,1.486,16.5,4,1,5,4,0,0,2,0,3.4,3.4,0.9,43,35,71,58,024,006,030,024,030,021,005,026,021,026,Partidas,3935e52e"
"1353,Luca Koleosho,it ITA,ATZG,Espanyol,es La Liga,18-204,2004,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,7,000,000,000,000,000,000,000,000,000,000,Partidas,fc076f78"
"1354,Randal Kolo Muani,fr FRA,AT,Eint Frankfurt,de Bundesliga,24-123,1998,25,24,2.049,22.8,12,10,22,10,2,2,4,1,10.3,8.7,5.1,138,78,46,187,053,044,097,044,088,045,022,067,038,061,Partidas,c0b3669f"
"1355,Timothée Kolodziejczak,fr FRA,ZG,Schalke 04,de Bundesliga,31-188,1991,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,ab096c6f"
"1356,Cheick Konaté,ci CIV,ZG,Clermont Foot,fr Ligue 1,19-035,2004,6,6,513,5.7,0,0,0,0,0,0,2,0,0.0,0.0,0.2,03,10,17,5,000,000,000,000,000,001,004,005,001,005,Partidas,1361e5bc"
"1357,Ibrahima Konaté,fr FRA,ZG,Liverpool,eng Premier League,23-317,1999,10,9,832,9.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,05,6,31,3,000,000,000,000,000,005,000,005,005,005,Partidas,5ed9b537"
"1358,Geoffrey Kondogbia,cf CTA,LT,Atlético Madrid,es La Liga,30-051,1993,16,10,962,10.7,0,2,2,0,0,0,4,0,0.7,0.7,0.9,16,6,40,5,000,019,019,000,019,007,008,015,007,015,Partidas,cce181df"
"1359,Ibrahima Koné,ml MLI,AT,Lorient,fr Ligue 1,23-295,1999,28,8,987,11.0,4,1,5,3,1,1,2,0,2.5,1.7,0.8,25,8,20,64,036,009,046,027,036,023,007,030,016,023,Partidas,04bb2b06"
"1360,Kouadio Koné,fr FRA,LT,M'Gladbach,de Bundesliga,21-325,2001,25,25,2.189,24.3,1,1,2,1,0,0,10,0,1.0,1.0,1.2,22,39,138,41,004,004,008,004,008,004,005,009,004,009,Partidas,86574238"
"1361,Youssouf Koné,ml MLI,ZG,Ajaccio,fr Ligue 1,27-276,1995,8,8,584,6.5,0,0,0,0,0,0,3,0,0.0,0.0,0.1,01,9,14,10,000,000,000,000,000,001,001,002,001,002,Partidas,e6eadfb8"
"1362,Ezri Konsa,eng ENG,ZG,Aston Villa,eng Premier League,25-166,1997,29,28,2.512,27.9,0,0,0,0,0,0,4,0,0.8,0.8,1.2,21,5,36,10,000,000,000,000,000,003,004,007,003,007,Partidas,0313a347"
"1363,Teun Koopmeiners,nl NED,LT,Atalanta,it Serie A,25-038,1998,24,23,2.048,22.8,6,3,9,4,2,4,5,0,5.8,2.5,3.0,55,41,146,68,026,013,040,018,031,026,013,039,011,024,Partidas,a26fb8aa"
"1364,Odilon Kossonou,ci CIV,ZG,Leverkusen,de Bundesliga,22-093,2001,20,13,1.163,12.9,0,1,1,0,0,0,1,0,0.1,0.1,0.1,02,18,51,12,000,008,008,000,008,001,001,002,001,002,Partidas,1f3afdcb"
"1365,Filip Kostić,rs SRB,ZGAT,Juventus,it Serie A,30-157,1992,28,25,2.025,22.5,3,8,11,3,0,0,3,0,2.2,2.2,6.2,84,78,61,168,013,036,049,013,049,010,028,037,010,037,Partidas,b1cd37e6"
"1366,Filip Kostić,rs SRB,ZGLT,Eint Frankfurt,de Bundesliga,30-157,1992,1,1,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,3,4,3,000,000,000,000,000,003,008,011,003,011,Partidas,b1cd37e6"
"1367,Christian Kouamé,ci CIV,AT,Fiorentina,it Serie A,25-122,1997,21,18,1.506,16.7,2,2,4,2,0,0,3,0,4.0,4.0,2.5,65,44,43,178,012,012,024,012,024,024,015,039,024,039,Partidas,58e933d2"
"1368,Rominigue Kouamé,ml MLI,LT,Troyes,fr Ligue 1,26-111,1996,24,24,2.024,22.5,1,1,2,1,0,0,5,0,1.1,1.1,1.7,28,52,139,28,004,004,009,004,009,005,007,012,005,012,Partidas,86a2ba20"
"1369,Tomáš Koubek,cz CZE,G,Augsburg,de Bundesliga,30-224,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,dc366c36"
"1370,Kalidou Koulibaly,sn SEN,ZG,Chelsea,eng Premier League,31-291,1991,21,19,1.700,18.9,2,1,3,2,0,0,7,1,0.9,0.9,0.4,14,10,73,4,011,005,016,011,016,005,002,007,005,007,Partidas,da974c7b"
"1371,Jules Koundé,fr FRA,ZG,Barcelona,es La Liga,24-146,1998,19,18,1.571,17.5,0,2,2,0,0,0,1,0,0.7,0.7,1.3,21,31,104,27,000,011,011,000,011,004,008,012,004,012,Partidas,4d1666ff"
"1372,Boubakar Kouyaté,ml MLI,ZG,Montpellier,fr Ligue 1,25-357,1997,9,9,721,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,04,3,20,1,000,000,000,000,000,005,001,006,005,006,Partidas,562a4799"
"1373,Cheikhou Kouyaté,sn SEN,LTZG,Nott'ham Forest,eng Premier League,33-107,1989,14,9,736,8.2,1,0,1,1,0,0,3,0,0.3,0.3,0.7,10,6,17,12,012,000,012,012,012,004,008,012,004,012,Partidas,8d3c902d"
"1374,Mateo Kovačić,hr CRO,LT,Chelsea,eng Premier League,28-336,1994,21,13,1.338,14.9,1,1,2,1,0,0,6,0,1.7,1.7,1.7,34,28,123,22,007,007,013,007,013,011,012,023,011,023,Partidas,79c0821a"
"1375,Viktor Kovalenko,ua UKR,LT,Spezia,it Serie A,27-052,1996,14,6,476,5.3,0,0,0,0,0,0,1,0,0.7,0.7,0.3,10,1,17,20,000,000,000,000,000,013,006,019,013,019,Partidas,9d60028d"
"1376,Soichiro Kozuki,jp JPN,ATLT,Schalke 04,de Bundesliga,22-106,2000,5,5,379,4.2,1,0,1,1,0,0,1,0,1.1,1.1,0.3,14,15,10,37,024,000,024,024,024,026,008,033,026,033,Partidas,f1e855eb"
"1377,Emil Krafth,se SWE,ZG,Newcastle Utd,eng Premier League,28-248,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,77cf6852"
"1378,Alex Král,cz CZE,LT,Schalke 04,de Bundesliga,24-323,1998,21,18,1.637,18.2,0,0,0,0,0,0,3,0,1.1,1.1,0.3,14,29,60,43,000,000,000,000,000,006,002,008,006,008,Partidas,e717705a"
"1379,Andrej Kramarić,hr CRO,LTAT,Hoffenheim,de Bundesliga,31-292,1991,24,18,1.706,19.0,8,3,11,6,2,4,1,0,9.4,6.3,1.9,82,31,74,153,042,016,058,032,047,050,010,060,033,043,Partidas,603cb947"
"1380,Christoph Kramer,de GER,LT,M'Gladbach,de Bundesliga,32-047,1991,25,25,2.045,22.7,0,0,0,0,0,0,3,0,0.3,0.3,1.7,20,24,74,59,000,000,000,000,000,001,007,009,001,009,Partidas,496aeede"
"1381,Tom Krauß,de GER,LT,Schalke 04,de Bundesliga,21-289,2001,26,26,2.114,23.5,1,0,1,1,0,0,4,0,1.7,1.7,0.5,23,29,79,33,004,000,004,004,004,007,002,010,007,010,Partidas,9f77012e"
"1382,Julian Kristoffersen,no NOR,AT,Salernitana,it Serie A,25-332,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,2,000,000,000,000,000,000,000,000,000,000,Partidas,b804c280"
"1383,Raimonds Krollis,lv LVA,AT,Spezia,it Serie A,21-161,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,1,1,1,000,000,000,000,000,031,000,031,031,031,Partidas,b4101c2e"
"1384,Toni Kroos,de GER,LT,Real Madrid,es La Liga,33-093,1990,22,19,1.591,17.7,2,3,5,2,0,0,2,1,1.1,1.1,2.8,39,38,230,28,011,017,028,011,028,006,016,022,006,022,Partidas,6ce1f46f"
"1385,Rade Krunić,ba BIH,LTAT,Milan,it Serie A,29-182,1993,16,12,1.092,12.1,0,1,1,0,0,0,6,0,0.7,0.7,0.9,16,17,43,16,000,008,008,000,008,006,008,013,006,013,Partidas,817c6964"
"1386,Max Kruse,de GER,LTAT,Wolfsburg,de Bundesliga,35-019,1988,5,2,272,3.0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,09,4,7,30,000,000,000,000,000,025,005,029,025,029,Partidas,f9446dcd"
"1387,Lukas Kübler,de GER,ZG,Freiburg,de Bundesliga,30-220,1992,14,14,1.189,13.2,2,0,2,2,0,0,0,0,0.8,0.8,0.3,11,8,34,41,015,000,015,015,015,006,002,008,006,008,Partidas,2a29eb9b"
